ItemCode	Description	PrimarySupplier	PrimarySupplierProductCode	Barcode	ProductGroup	ProductGroupName	RetailPrice	QtyOnHand	QtyOnOrder	CreationDate	Status	LastSellPriceChange	Duplicate pairs
9351791000603	BETAMIN 100MG TAB 100 NEW	SIGMA	309583	9351791000603	VIT	Vitamins	10.49	15	0	5/09/2019	A	5/09/2019	1
93838726	BETAMIN TAB 100MG 100	APIQ	421219	93838726	VIT	Vitamins	8.99	-4	0				1
9323610014689	CILICAINE VK 500MG CAP 50 NEW	SIGMA	346239	9323610014689	DIS	Dispensary	0	36	0	27/04/2021	A	28/04/2021	2
9316626602292	CILICAINE VK CAP 500MG 50	APIQ	837997	9316626602292	DSP	Ethical Deals	0	-30	0			22/08/2019	2
9350299005585	EMTRIX NAIL 10ML	APIQ	353973	9350299005585	OTC	Over the Counter	51.99	0	0	14/05/2018	A	14/05/2018	3
9350299006438	EMTRIX NAIL 10ML NEW	SIGMA	321646	9350299006438	FUN	Anti-Fungal & Warts	36.49	10	0	13/11/2019	A	4/12/2019	3
62781018094	LACTEEZE 10 TAB NEW	SIGMA	339572	62781018094	STO	Stomach & Anti Diarrohea	6.99	-35	0	25/08/2020	A	25/08/2020	4
62781018094	LACTEEZE 10 TABS	APIQ	56699	62781018094	STO	Stomach & Anti Diarrohea	4.99	58	0	15/09/2020	A	22/09/2020	4
62781201809	LACTEEZE 120 TAB NEW	SIGMA	339556	62781201809	STO	Stomach & Anti Diarrohea	46.99	-13	0	21/08/2020	A	21/10/2020	5
62781201809	LACTEEZE 120 TABS	APIQ	56698	62781201809	OTC	Over the Counter	40.99	21	0	6/11/2020	A	6/11/2020	5
9350299007121	LAMITAN 100MG TAB 56 NEW	SIGMA	334185	9350299007121	DIS	Dispensary	0	19	0	6/08/2021	A	26/08/2021	6
9350299003444	LAMITAN TABS 100MG 56	APIQ	20611	9350299003444	DIS	Dispensary	0	41.5	0	30/03/2017	A	28/06/2018	6
9350299003451	LAMITAN 200MG TAB 56	1APIQ	20612	9350299003451	DIS	Dispensary	0	0	0	21/03/2017	A	21/03/2017	7
9350299007138	LAMITAN TAB 200MG 56	APIQ	20612	9350299007138	DIS	Dispensary	0	82	0	5/02/2020	A	13/02/2020	7
9334820000409	LOZANOC 50MG CAP 60	APIQ	823759	9334820000409	DIS	Dispensary	0	-1	0	24/04/2017	A	24/04/2017	8
9334820001116	LOZANOC 50MG CAP 60 BT NEW	SIGMA	334698	9334820001116	DIS	Dispensary	0	1	0	2/08/2021	A	3/08/2021	8
347484	ATORVACHOL 40MG 30 TAB	SIGMA	347484		DIS	Dispensary	0	218	0	28/05/2021	A	31/05/2021	10
324970	ATORVACHOL 40MG TAB 30	SIGMA	324970		DIS	Dispensary	0	0	0	20/05/2021	A	31/05/2021	10
9350299006155	ATORVACHOL TAB 40MG 30	APIQ	54159	9350299006155	DIS	Dispensary	0	-180	0	22/10/2019	A	11/12/2019	10
9350299008128	ATORVACHOL TAB 40MG 30	APIQ	66396	9350299008128	DIS	Dispensary	0	230	0	4/05/2021	A	6/05/2021	10
5000223452889	ALLEVYN THIN DRESSING 5X6CM X1	1APIQ	748692		WC	Bandaids/Dressing/ Woundcare	5.99	0	0	23/12/2020	A		11
5000223452896	ALLEVYN THN/D 5X6CM X1	APIQ			WC	Bandaids/Dressing/ Woundcare	5.99	43	0				11
5391189220491	COVERAM 10MG/5MG TAB 30	APIQ	316873		DSP	Ethical Deals	0	23	65	4/06/2010	A	6/12/2016	12
